00:86F2  30 39  MOVE.w  ($00FF89CC),D0           A0=00063A90 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:86F8  72 38  MOVEQ   #$38,D1                  A0=00063A90 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:86FA  B2 40  CMP.W   D0,D1                    A0=00063A90 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:86FC  65 00  BCS     #$005C [00:875A]         A0=00063A90 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8700  32 70  MOVE.w  $00(A0,D0),A1            A0=00063A90 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8704  D3 FC  ADDA.L  #$000411DC,A1            A0=00063A90 A1=00000000 A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:870A  47 F9  LEA     ($00063B00),A3           A0=00063A90 A1=000411DC A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8710  C0 FC  MULU.W  #$0003,D0                A0=00063A90 A1=000411DC A2=00C00004 A3=00063B00 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8714  D6 C0  ADDA.W  D0,A3                    A0=00063A90 A1=000411DC A2=00C00004 A3=00063B00 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8716  34 5B  MOVE.w  (A3)+,A2                 A0=00063A90 A1=000411DC A2=00C00004 A3=00063B00 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8718  32 1B  MOVE.w  (A3)+,D1                 A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B02 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00000038 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:871A  34 13  MOVE.w  (A3),D2                  A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:871C  36 39  MOVE.w  ($00FF822A),D3           A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8722  86 FC  DIVU.W  #$0020,D3                A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=00000000 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8726  D6 7C  ADD.W   #$80DA,D3                A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=00000000 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:872A  D6 79  ADD.W   ($00FF822C),D3           A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=000080DA D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvc
00:8730  61 00  BSR     #$002A [00:875C]         A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvc
00:875C  7E 00  MOVEQ   #$00,D7                  A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvc
00:875E  47 F9  LEA     ($0000877E),A3           A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=00063B04 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000000 xnZvc
00:8764  38 39  MOVE.w  ($00FF89CC),D4           A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000000 xnZvc
00:876A  7C 08  MOVEQ   #$08,D6                  A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=0000FFFF D7=00000000 xnZvc
00:876C  B8 53  CMP.W   (A3),D4                  A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000000 xnzvc
00:876E  67 00  BEQ     #$000A [00:877A]         A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000000 xnZvc
00:877A  7E 01  MOVEQ   #$01,D7                  A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000000 xnZvc
00:877C  4E 75  RTS                              A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:8734  4A 47  TST.W   D7                       A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:8736  66 00  BNE     #$0014 [00:874C]         A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:874C  46 FC  MOVE    #$2700,SR                A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:8750  4E B9  JSR     ($0000094E)              A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:094E  48 E7  MOVEM.L {d0-a7}[ff ff],-(A7)     A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0952  20 0A  MOVE.l  A2,D0                    A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=00000000 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0954  28 0A  MOVE.l  A2,D4                    A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=FFFFC3B8 D1=0000000A D2=0000000A D3=0000A0DA D4=2A1B0000 D5=000000B0 D6=00000008 D7=00000001 xNzvc
